GNAME|GNTYPE|LATDMS|LONDMS|ELEV|TOWNNAME
Perkins Brook|Stream|43.71284520|-72.72065700|331|STOCKBRIDGE
Perkins Brook|Stream|44.75588190|-72.64373100|360|BELVIDERE
Perkinsville|Populated Place|43.37368420|-72.51370190|176|WEATHERSFIELD
Perry|Populated Place|44.69616210|-72.08621010|368|SUTTON
Perry Brook|Stream|44.12561910|-72.30843060|385|TOPSHAM
Perry Brook|Stream|43.91672640|-73.26483970|47|SHOREHAM
Perry Hill|Summit|44.33616790|-72.71372740|407|WATERBURY
Peterson Brook|Stream|44.49171970|-72.74289810|280|STOWE
Peth|Populated Place|43.97006480|-72.66788320|263|BRAINTREE
Pheasant Hill|Summit|44.40921680|-73.25734920|89|SHELBURNE
Phelps Bay|Bay|44.98337490|-73.10012860|29|HIGHGATE
Phelps Point|Cape|44.61976770|-73.34596520|30|SOUTH HERO
Pherrins River|Stream|44.79866040|-71.90953990|354|BRIGHTON
Phillips Hill|Summit|42.73619420|-72.77453890|546|HALIFAX
Phillips Pond|Reservoir|44.92393510|-72.42094300|302|WESTFIELD
Phillips School|School|44.30366820|-72.77039520|232|DUXBURY
Picket Island|Island|44.28949630|-73.29901480|29|CHARLOTTE
Pickett Pond|Lake|44.43950000|-72.38010570|432|WOODBURY
Pickles Pond|Lake|43.99700920|-72.60871540|450|BROOKFIELD
Piedmont Pond|Lake|43.60895710|-72.95705050|183|RUTLAND CITY
Pierce Hill|Summit|44.81643800|-72.00176350|611|CHARLESTON
Pierson Hill|Summit|44.11895270|-72.26842930|595|TOPSHAM
Pierson Peak|Summit|43.43840520|-72.50036870|493|WEATHERSFIELD
Pigeon Pond|Lake|44.24589400|-72.32843290|595|GROTON
Pike Cemetery|Cemetery|44.34978000|-72.38927070|380|MARSHFIELD
Pike Hill|Summit|44.05923170|-72.30704080|580|CORINTH
Pike Hill Brook|Stream|44.06339850|-72.23426100|222|CORINTH
Pikes Peak|Summit|43.39562840|-72.47314590|412|WEATHERSFIELD
Pine Brook|Stream|44.87810370|-71.90648440|388|MORGAN
Pine Grove Cemetery|Cemetery|43.33562930|-72.53092420|176|SPRINGFIELD
Pine Hill|Summit|43.42396020|-73.16455160|558|WELLS
Pine Hill|Summit|43.64701170|-73.01649690|431|PROCTOR
Pine Hill|Summit|44.75116000|-72.92124960|436|FAIRFIELD
Pine Hill Cemetery|Cemetery|43.98950170|-73.37178820|62|BRIDPORT
Pine Hill Cemetery|Cemetery|44.92476910|-72.18926840|301|DERBY
Pine Island|Island|44.52060390|-73.21679510|43|COLCHESTER
Pine Island|Island|44.90420770|-73.28151970|34|ALBURG
Pine Mountain Wildlife Management Area|Park|44.18006270|-72.18592800|361|TOPSHAM
Pine Mountains|Summit|44.18478480|-72.18620580|443|TOPSHAM
Pine Pond|Reservoir|43.63701050|-73.19316600|144|CASTLETON
Pine Top|Summit|43.35229540|-73.21288540|476|PAWLET
Pinehurst Cemetery|Cemetery|44.18561830|-72.12759350|242|RYEGATE
Pinnacle|Summit|43.66173530|-72.63120920|769|BRIDGEWATER
Pinnacle Rock|Summit|43.38423970|-72.45759020|414|WEATHERSFIELD
Pinneo Brook|Stream|44.36311070|-72.84456440|100|BOLTON
Pinney Hollow|Valley|43.57062510|-72.66454190|272|BRIDGEWATER
Pinney Hollow Brook|Stream|43.57006950|-72.66204180|268|BRIDGEWATER
"Pisgah| Mount"|Summit|44.72977260|-72.03093100|820|WESTMORE
"Pisgah| Mount"|Summit|44.47311260|-71.97842800|432|ST. JOHNSBURY
Pittsford|Populated Place|43.70673290|-73.02816470|173|PITTSFORD
Plain Cemetery|Cemetery|43.38229520|-72.49481260|183|WEATHERSFIELD
Plain Cemetery|Cemetery|43.56034870|-72.38620270|151|HARTLAND
Plain School|School|44.61754800|-73.11818780|101|MILTON
Plainfield Center Cemetery|Cemetery|44.24728250|-72.42038070|439|PLAINFIELD
Plainmont Cemetery|Cemetery|44.27450390|-72.45121580|226|EAST MONTPELIER
Plains Cemetery|Cemetery|44.42200080|-72.26704600|609|CABOT
Platt Cemetery|Cemetery|44.97281950|-73.10762910|49|HIGHGATE
Pleasant Brook|Stream|43.86283960|-73.17122580|110|WHITING
Pleasant Street Cemetery|Cemetery|43.59506810|-73.03844080|153|WEST RUTLAND
Pleasant Valley|Populated Place|44.59255070|-72.86262740|189|CAMBRIDGE
Pleasant Valley|Valley|43.13924440|-72.51592280|160|ROCKINGHAM
Pleasant Valley Cemetery|Cemetery|43.24507550|-72.52647870|291|SPRINGFIELD
Pleasant Valley Reservoir|Reservoir|42.88258150|-72.61286910|191|BRATTLEBORO
Pleasant Valley School|School|42.87702290|-73.25788690|264|BENNINGTON
Pleasant View Cemetery|Cemetery|43.26257500|-72.60342550|220|CHESTER
Pleasant View Cemetery|Cemetery|43.40229430|-72.70009640|345|LUDLOW
Pleasant View Cemetery|Cemetery|43.71617540|-73.18566740|162|HUBBARDTON
Pleasant View Cemetery|Cemetery|43.91172710|-73.21428300|135|CORNWALL
Pleasant View Cemetery|Cemetery|44.68644060|-71.94842890|534|NEWARK
Pleasant View Cemetery|Cemetery|43.48284770|-73.12399570|261|MIDDLETOWN SPRINGS
"Pleasant| Mount"|Summit|43.56812490|-72.72593250|652|PLYMOUTH
Plot Cemetery|Cemetery|44.66505020|-72.68123180|287|JOHNSON
Plum Hill|Summit|43.49923630|-73.10427340|545|MIDDLETOWN SPRINGS
Plumies Point|Cape|43.99255690|-73.40262240|31|BRIDPORT
Plymouth|Populated Place|43.53590310|-72.72148730|432|PLYMOUTH
Plymouth Kingdom|Locale|43.46923760|-72.67120730|504|PLYMOUTH
Plymouth Notch|Gap|43.53395870|-72.73009870|439|PLYMOUTH
Plymouth Notch Cemetery|Cemetery|43.53118090|-72.72315400|436|PLYMOUTH
Plymouth Elementary School|School|43.53562530|-72.74343240|384|PLYMOUTH
Plymouth Union|Populated Place|43.53006980|-72.73871000|371|PLYMOUTH
Plymouth-Five Corners Cemetery|Cemetery|43.53395880|-72.68093060|468|PLYMOUTH
Podunk Brook|Stream|43.71395840|-72.41842680|113|HARTFORD
Point of the Tongue|Cape|44.84754170|-73.29374260|34|ALBURG
Point of Pines|Populated Place|43.62284390|-73.23066630|139|CASTLETON
Polly Brook|Stream|44.71699360|-72.99597490|146|FAIRFAX
Buck Hollow|Valley|44.71782700|-72.99514160|147|FAIRFAX
Pomfret|Populated Place|43.70479100|-72.51592870|400|POMFRET
Pomfret Brook|Stream|43.66368020|-72.53953980|221|POMFRET
Pond Brook|Stream|42.81286000|-72.72481590|388|HALIFAX
Pond Brook|Stream|44.23367110|-72.55288550|170|BERLIN
Pond Brook|Stream|44.56672180|-71.73814590|436|GRANBY
Pond Brook|Stream|44.60310480|-73.04874400|199|WESTFORD
Pond Brook|Stream|43.76062310|-72.63037740|277|BARNARD
Pond Brook|Stream|44.57393680|-73.17290760|29|COLCHESTER
Pond Hill|Summit|43.33562960|-72.43147830|339|SPRINGFIELD
Pond Hill|Summit|43.58978960|-73.15316460|352|CASTLETON
Pond Hill Brook|Stream|43.61117780|-73.18483210|124|CASTLETON
Pond Mountain|Summit|43.42479350|-73.19121870|428|WELLS
Pond School|School|44.71727140|-72.89791280|302|FLETCHER
Popasquash Island|Island|44.86198720|-73.18985400|29|ST. ALBANS TOWN
Pope Brook|Stream|44.46922300|-72.10537580|300|DANVILLE
Whitewater Brook|Stream|43.78701260|-72.48065150|133|SHARON
Whiting|Populated Place|43.86395030|-73.20039290|123|WHITING
Whiting Swamp|Swamp|43.88339460|-73.18705980|106|WHITING
Whitman Brook|Stream|43.65173650|-72.44203760|176|HARTFORD
Whitmore Brook|Stream|43.29924100|-72.60759270|197|CHESTER
Whitney Brook|Stream|43.41562760|-72.64870610|347|CAVENDISH
Whitney Brook|Stream|44.66310630|-72.36205120|300|CRAFTSBURY
Wards Creek|Stream|44.02783400|-73.39956750|29|ADDISON
Whitney Hill|Summit|43.26340840|-72.54481280|369|SPRINGFIELD
Whitney Hill|Summit|43.93395520|-72.48398800|410|TUNBRIDGE
Whittaker Brook|Stream|44.98754550|-72.65318450|143|RICHFORD
Wickopee Hill|Summit|42.90147020|-72.63231410|334|DUMMERSTON
Widow Hill|Summit|43.42284980|-72.57120400|484|CAVENDISH
Wiggins Cemetery|Cemetery|44.02895360|-72.50954640|510|CHELSEA
Wiggins School|School|44.45311150|-72.20926720|569|WALDEN
Wilcox Bay|Bay|44.70282140|-73.34902140|29|GRAND ISLE
Wilcox Hill|Summit|43.56673570|-72.88788120|630|SHREWSBURY
Wilcox Hill|Summit|43.72145180|-73.34567070|201|BENSON
Wilcox Hill|Summit|44.92476970|-71.99565230|590|MORGAN
Wilcox Hollow|Valley|43.16174330|-73.17899580|293|SANDGATE
Wilcox Point|Cape|44.70087690|-73.35041030|34|GRAND ISLE
Wild Brook|Stream|44.66282810|-72.61206140|254|JOHNSON
Wilder|Populated Place|43.67284840|-72.30870230|132|HARTFORD
Wilder Cemetery|Cemetery|43.02035560|-73.18288530|258|SHAFTSBURY
Wiley Brook|Stream|44.64449520|-72.51955640|373|HYDE PARK
Wiley Lodge|Locale|44.36033270|-72.87650940|249|BOLTON
Wilgus State Park|Park|43.39090640|-72.40786770|147|WEATHERSFIELD
Wilke Brook|Stream|44.61449810|-71.70064530|417|GRANBY
Wilke Mountain|Summit|44.58838780|-71.71731220|670|GRANBY
Wilkens Hill|Summit|42.79508240|-72.64981420|382|GUILFORD
Wilkens Cemetery|Cemetery|42.78563810|-72.65731430|348|GUILFORD
Wilkins Brook|Stream|44.68060510|-72.98902740|135|FAIRFAX
Willard Mountain|Summit|44.67394060|-71.60786530|538|BRUNSWICK
Willey Granite Quarry|Mine|44.96449090|-72.14648940|321|DERBY
Willey Hill|Summit|44.15534070|-72.29204160|676|TOPSHAM
Willey Hill|Summit|44.41561040|-72.74039660|368|WATERBURY
William Scott Memorial Monument|Pillar|44.20450630|-72.26593010|456|GROTON
Williams Cemetery|Cemetery|43.61840280|-72.54009470|238|WOODSTOCK
Williams Hill|Summit|43.88812290|-72.42259670|590|STRAFFORD
Williams Hill|Summit|44.11173070|-72.25926220|508|TOPSHAM
Williams River|Stream|43.17396590|-72.45147740|84|ROCKINGHAM
Williams River State Forest|Forest|43.23313100|-72.66620490|428|CHESTER
Williamstown|Populated Place|44.12172920|-72.54149370|266|WILLIAMSTOWN
Williamstown Gulf|Valley|44.06200810|-72.56315990|222|BROOKFIELD
Williamsville|Populated Place|42.94674740|-72.67898190|171|NEWFANE
Williamsville Station|Populated Place|42.94702520|-72.64148100|115|DUMMERSTON
Willie Brook|Stream|43.13063320|-72.63620370|311|GRAFTON
Williston|Populated Place|44.43755130|-73.06818100|151|WILLISTON
Willmarth School|School|44.04783470|-73.29845440|64|ADDISON
Willoughby River|Stream|44.81782610|-72.20371340|224|BARTON
Willoughby School|School|44.70838380|-72.12037770|306|BARTON
"Willoughby| Lake"|Lake|44.75199420|-72.06287630|357|WESTMORE
Willow Brook|Stream|43.80867400|-73.15316870|105|SUDBURY
Willow Brook|Stream|43.45479370|-72.51425820|241|WEST WINDSOR
Willow Brook School|School|43.78228560|-73.15261270|128|SUDBURY
Willson Cemetery|Cemetery|42.96702500|-72.61398040|414|DUMMERSTON
Wilmot Mountain|Summit|43.78868120|-72.21953430|265|THETFORD
Wilmouth Hill|Summit|43.55229140|-72.86843610|536|SHREWSBURY
Wilson Cemetery|Cemetery|44.16839510|-72.49010400|351|BARRE TOWN
Winchester Cemetery|Cemetery|42.85035960|-72.67481490|462|BRATTLEBORO
Wind Gap|Gap|44.30394500|-72.88206380|868|DUXBURY
Landmark College|School|42.97924750|-72.52758960|145|PUTNEY
Windfall Brook|Stream|43.68701210|-72.73287910|494|KILLINGTON
Windham|Populated Place|43.17924310|-72.72592850|596|WINDHAM
Windmill Mountain|Summit|43.05730150|-72.57425740|484|WESTMINSTER
Windmill Point|Cape|44.98170610|-73.34124370|31|ALBURG
Stickney Brook|Stream|42.91563680|-72.61425810|111|DUMMERSTON
Stickney Hill|Summit|42.77980460|-72.81204030|524|WHITINGHAM
Stignatius Cemetery|Cemetery|44.80921460|-72.44566540|308|LOWELL
Stiles Brook|Stream|44.42950250|-71.96426050|218|ST. JOHNSBURY
Stiles Cemetery|Cemetery|44.42339150|-71.94842680|269|WATERFORD
Stiles Mountain|Summit|43.76006380|-73.14455650|373|SUDBURY
Stiles Pond|Reservoir|44.41589170|-71.93981540|267|WATERFORD
Still Brook|Stream|44.33116930|-72.44066100|213|CALAIS
Still Hill|Summit|44.72060540|-72.21926940|519|GLOVER
Stillwater Brook|Stream|44.28061560|-72.27093160|330|GROTON
Stillwater Pond|Lake|44.83977090|-71.92954030|431|CHARLESTON
Stillwater Swamp|Swamp|44.77477140|-72.11648890|396|BARTON
Stimet Cemetery|Cemetery|44.99309760|-73.02596090|70|HIGHGATE
Stimson Mountain|Summit|44.39144290|-72.88984370|602|BOLTON
Stockbridge Gap|Gap|43.81034400|-72.72538130|487|STOCKBRIDGE
Stockwell Brook|Stream|44.43089150|-71.90370370|251|CONCORD
Stoddard Brook|Stream|43.81590010|-72.63787890|163|BETHEL
Stone Bridge Brook|Stream|44.67504560|-73.20902050|29|MILTON
Stone Dam|Dam|44.77921590|-71.67759060|319|BLOOMFIELD
Stone Hill|Summit|43.76951380|-72.35925950|479|NORWICH
Stone Mountain|Summit|44.56088860|-71.66508820|834|GUILDHALL
Stoneham Mountain|Summit|44.64671930|-71.62147650|644|MAIDSTONE
Stones Brook|Stream|44.65893850|-72.98902590|110|FAIRFAX
Stony Brook|Stream|44.69282760|-72.58206000|267|EDEN
Stony Brook|Stream|43.76673350|-72.71260230|198|STOCKBRIDGE
Stony Brook|Stream|44.11728400|-72.67872080|264|NORTHFIELD
Stony Brook|Stream|44.62394230|-71.70425660|412|GRANBY
Stony Brook|Stream|44.87088070|-72.26815960|217|COVENTRY
Stony Cove|Bay|43.90255890|-73.38206440|29|SHOREHAM
Stony Hill|Summit|43.81645150|-73.16955810|252|SUDBURY
Stony Hill|Summit|44.81754800|-72.31732790|293|IRASBURG
Stony Point|Cape|43.74367330|-73.36622720|29|BENSON
Stony Point|Cape|44.92031900|-73.24346320|30|NORTH HERO
Stony Point School|School|43.73089590|-73.34761540|122|BENSON
Stoughton Pond|Lake|43.37923970|-72.49981260|155|WEATHERSFIELD
Stowe|Populated Place|44.46533170|-72.68456200|221|STOWE
Stowe Brook|Stream|42.74480520|-72.73842700|259|HALIFAX
Stowe Fork|Populated Place|44.50227490|-72.75623210|293|STOWE
Stowe Hollow|Valley|44.44172120|-72.67650560|271|STOWE
Stowe Mountain|Summit|42.75341620|-72.74453830|448|HALIFAX
Stowe Pinnacle|Summit|44.42977710|-72.65011550|790|STOWE
Strafford|Populated Place|43.86645680|-72.37787280|281|STRAFFORD
Strawberry Hill|Summit|44.84421390|-72.50038970|630|WESTFIELD
Stream Mill Brook|Stream|44.50005490|-72.18232310|619|WALDEN
Streeter Brook|Stream|44.64504720|-73.14513280|36|MILTON
Streeter Brook|Stream|44.74199320|-72.74401440|215|WATERVILLE
Strong Swamp|Swamp|43.71117440|-73.32594780|127|BENSON
Stuart Pond|Lake|44.50616720|-72.01454040|262|LYNDON
Stumpf Brook|Stream|44.86227040|-72.04509810|350|CHARLESTON
Sucker Brook|Stream|43.66117660|-73.19177760|125|CASTLETON
Sucker Brook|Stream|44.32422560|-72.25426530|430|PEACHAM
Sucker Brook|Stream|44.90309640|-73.30540930|29|ALBURG
Sucker Brook|Stream|44.91088090|-71.98204100|390|MORGAN
Sucker Brook|Stream|44.93921390|-71.85620630|408|WARREN GORE
Sucker Brook|Stream|44.41560660|-73.14484800|102|WILLISTON
Sucker Creek|Stream|43.64450980|-73.26705630|149|FAIR HAVEN
Sudbury|Populated Place|43.79922910|-73.20455830|170|SUDBURY
Sugar Hill|Summit|44.48811240|-71.94509420|461|KIRBY
Sugar Hill|Summit|44.50977850|-71.93037180|622|KIRBY
Sugar Hill|Summit|44.67838520|-71.88981670|438|NEWARK
Sugar Hill|Summit|44.89810300|-72.13537810|470|DERBY
Sugarloaf|Summit|43.20590930|-72.65981570|570|GRAFTON
Sugarloaf|Summit|44.48477460|-72.83290010|652|UNDERHILL
Sugarloaf Mountain|Summit|44.84449160|-72.52122470|752|WESTFIELD
Suitor Brook|Stream|44.54283360|-71.74536810|396|VICTORY
Sukes Pond|Lake|44.75449430|-71.89648390|463|BRIGHTON
Summer Point|Cape|44.21921960|-73.33318110|45|FERRISBURG
Summit Siding|Locale|44.97143490|-72.29066030|282|NEWPORT TOWN
Sunderland Brook|Stream|44.50004940|-73.12929400|100|ESSEX
Sunken Island|Island|44.41089020|-72.21982210|473|CABOT
Sunmit|Populated Place|44.69032910|-72.05732040|363|SUTTON
Sunny Brook|Stream|44.12422850|-72.66566490|227|NORTHFIELD
Sunny Brook|Stream|44.26755880|-72.62983380|146|MIDDLESEX
Sunrise Lake|Reservoir|43.76061800|-73.26011410|146|BENSON
Sunset Brook|Stream|44.02950880|-72.56899260|209|BROOKFIELD
Sunset Hill|Summit|44.46616500|-72.67206150|342|STOWE
Sunset Island|Island|44.56532460|-73.32318650|36|COLCHESTER
Sunset Lake|Reservoir|42.91813660|-72.68398190|419|MARLBORO
Sunset Lake|Reservoir|44.04367490|-72.60510530|394|BROOKFIELD
Sunset Lake|Lake|43.75645130|-73.27094760|146|BENSON
Sunset View Cemetery|Cemetery|44.12005610|-73.24178780|101|WALTHAM
Sutton|Populated Place|44.63310850|-72.02565250|371|SUTTON
Sutton Brook|Stream|44.95754690|-71.84037280|402|NORTON
Sutton River|Stream|44.64171950|-71.97954030|275|BURKE
Sutton Station|Locale|44.65949660|-72.01981920|311|SUTTON
Swain Cemetery|Cemetery|43.51368140|-72.60870610|549|READING
Swale School|School|43.64450930|-73.39483650|73|WEST HAVEN
Swamp Pond|Lake|43.85450660|-73.14789180|113|LEICESTER
Swamp School|School|44.78560330|-73.01375220|223|FAIRFIELD
Swaney Bean School|School|43.86062430|-72.27620360|290|THETFORD
Swanton|Populated Place|44.91809830|-73.12429780|45|SWANTON
Swearing Hill|Summit|43.13868790|-73.22344140|627|SANDGATE
Sweeney Pond|Lake|44.69532790|-72.27677090|597|GLOVER
Sweet Pond|Lake|42.75397180|-72.63536930|304|GUILFORD
Swift Brook|Stream|44.67504870|-73.04097070|98|FAIRFAX
Taber Hill|Summit|44.45727630|-72.67483920|397|STOWE
Tabor Branch|Stream|44.05673210|-72.22120500|205|CORINTH
Tabor Cemetery|Cemetery|44.94948560|-73.20651860|35|SWANTON
Tabor Pond|Lake|44.38838990|-72.47844120|380|CALAIS
Taconic Crest Trail|Trail|42.74896810|-73.27622020|729|POWNAL
Tadmer Hill|Summit|43.39868310|-73.13844000|475|PAWLET
Taft Brook|Stream|44.88754680|-72.41344250|228|WESTFIELD
Taft Lodge|Locale|44.54255170|-72.80956800|1101|STOWE
Taftsville|Populated Place|43.63062540|-72.46898210|198|WOODSTOCK
Taftsville Cemetery|Cemetery|43.63562530|-72.47148220|209|WOODSTOCK
Talbot Hollow|Valley|44.47644090|-72.90317920|270|JERICHO
Tamarack Brook|Stream|44.84949180|-72.39760850|315|TROY
Tamarack Brook|Stream|44.85199170|-72.61345420|195|MONTGOMERY
Tampico School|School|44.49866680|-72.09343160|372|DANVILLE
Tannery Brook|Stream|44.20783980|-72.19009510|230|GROTON
Taplin Hill|Summit|44.04089900|-72.24676100|434|CORINTH
Tara Island|Island|44.41922340|-72.22398900|473|CABOT
Tate Brook|Stream|44.59505220|-72.31760530|431|GREENSBORO
Tate Mountain|Summit|43.15035460|-73.24566400|513|SANDGATE
Taylor Bridge|Populated Place|44.48422140|-72.29260390|359|WALDEN
Taylor Brook|Stream|44.69143850|-72.77068160|146|WATERVILLE
Taylor Brook|Stream|44.77116080|-71.90287300|407|BRIGHTON
Pope Cemetery|Cemetery|44.47172280|-72.12370970|366|DANVILLE
Popple Dungeon|Valley|43.24951960|-72.60231430|245|CHESTER
Popple Dungeon Cemetery|Cemetery|43.22896440|-72.67453850|449|CHESTER
Porcupine Ridge|Ridge|43.63506560|-73.26094490|169|FAIR HAVEN
Porrell Cemetery|Cemetery|44.58811010|-71.75453550|600|GRANBY
Porter Bay|Bay|44.22838620|-73.31762540|29|FERRISBURG
Porter Brook|Stream|44.50394300|-72.33843900|277|HARDWICK
Porter Brook|Stream|44.59671890|-72.30982730|431|GREENSBORO
Porter Cemetery|Cemetery|44.20310910|-73.31345800|54|FERRISBURG
Porter Hospital|Hospital|43.99978180|-73.16900630|121|MIDDLEBURY
Porter Point|Cape|44.55838040|-73.28012980|30|COLCHESTER
Porterboro School|School|44.22283100|-73.30095810|41|FERRISBURG
Post Mills|Populated Place|43.88562400|-72.26064800|218|THETFORD
Potash Bay|Bay|44.09533270|-73.39040210|29|ADDISON
Potash Brook|Stream|43.27146360|-72.66731630|286|CHESTER
Potash Brook|Stream|43.98339110|-73.33400940|48|BRIDPORT
Potash Brook|Stream|44.43893870|-73.21984920|27|SOUTH BURLINGTON
Potash Mountain|Summit|44.81032660|-71.67897950|609|BLOOMFIELD
Potash Point|Cape|44.11727670|-73.38151350|39|PANTON
Potter Brook|Stream|44.27505980|-72.37621310|380|MARSHFIELD
Potter Hollow|Valley|42.80563450|-73.26705350|158|POWNAL
Potters Pond|Reservoir|44.77727070|-72.32010580|257|ALBANY
Poultney|Populated Place|43.51701320|-73.23621990|130|POULTNEY
Powder Spring Brook|Stream|44.12534160|-72.24120630|308|TOPSHAM
Powers Cemetery|Cemetery|44.43450300|-71.72369970|426|LUNENBURG
Powers School|School|44.82615960|-72.10926640|362|BROWNINGTON
Pratt School|School|44.01200200|-73.30900940|79|BRIDPORT
Preston Brook|Stream|44.37699860|-72.90539920|93|BOLTON
Preston Hill|Summit|43.85256860|-72.30787080|426|THETFORD
Preston Pond|Lake|44.42394200|-72.90901140|350|BOLTON
Prindle Corners|Populated Place|44.30144210|-73.16179020|132|CHARLOTTE
Prindle School|School|44.30338630|-73.17317930|129|CHARLOTTE
Pringle Brook|Stream|44.32255160|-73.26984800|40|CHARLOTTE
Proctor|Populated Place|43.66062250|-73.03566410|154|PROCTOR
Proctor-Piper State Forest|Forest|43.37285070|-72.62537160|414|CAVENDISH
Proctorsville|Populated Place|43.38229480|-72.63842770|291|CAVENDISH
Proctorsville Gulf|Valley|43.34646230|-72.62453810|260|CHESTER
Proper Pond|Lake|45.00337480|-73.05318300|64|HIGHGATE
Prospect Cemetery|Cemetery|44.15894390|-73.26484470|95|VERGENNES
Prospect Hill|Summit|44.50977830|-72.00787350|333|LYNDON
Prospect Hill|Summit|42.76286060|-72.73370480|548|HALIFAX
Prospect Hill|Summit|42.94174770|-72.58759090|323|DUMMERSTON
Prospect Hill|Summit|43.45062700|-72.63009480|618|CAVENDISH
Prospect Hill|Summit|44.63866030|-73.03430200|310|WESTFORD
Prospect Hill|Summit|44.83977030|-72.17010140|419|BROWNINGTON
Prospect Point|Cape|43.64506580|-73.20288850|131|CASTLETON
Prospect Rock|Summit|44.65560590|-72.72178920|313|JOHNSON
Prosper|Populated Place|43.64923580|-72.56037350|264|WOODSTOCK
Prosper Cemetery|Cemetery|43.64312480|-72.55537330|281|WOODSTOCK
Providence Island|Island|44.61032350|-73.35402090|42|SOUTH HERO
Province Island|Island|45.00421250|-72.23093610|208|DERBY
Province Point|Cape|45.01281810|-73.19290680|30|ALBURG
Pruddy Brook|Stream|43.17090980|-73.16788450|294|SANDGATE
Pudding Hill|Summit|44.59338710|-72.03037460|464|LYNDON
Pudding Hill|Summit|43.25424210|-72.48203340|375|SPRINGFIELD
Pudding Hill|Summit|43.32924070|-72.48481200|358|SPRINGFIELD
Pudding Hill|Summit|44.58783200|-71.99787370|382|LYNDON
Pudding Hill School|School|44.57338770|-72.01787420|362|LYNDON
Pulaski Mountain|Summit|44.07450940|-72.06870140|279|NEWBURY
Pulpit Mountain|Summit|42.77008270|-72.66981460|354|GUILFORD
Pumpkin Hill|Summit|44.42061310|-72.09176350|419|DANVILLE
Pumpkin Hill School|School|44.42283540|-72.07676310|316|DANVILLE
Sisson Hill|Summit|43.88200420|-73.32928490|154|SHOREHAM
Sister Islands|Island|44.74087600|-73.34457720|31|GRAND ISLE
Sister Shoal|Bar|44.73504290|-73.34457720|29|GRAND ISLE
Skeels Corner|Populated Place|44.89893280|-73.06652170|98|SWANTON
Shippee Pond|Lake|42.74674950|-72.83481850|516|WHITINGHAM
Skitchewaug Mountain|Summit|43.27813060|-72.41897760|252|SPRINGFIELD
Skunk Hollow|Valley|44.63088480|-72.26454820|484|GREENSBORO
Slack Hill|Summit|43.54534750|-72.68426420|665|PLYMOUTH
Slayton Pond|Lake|44.44005530|-72.47233100|453|WOODBURY
Sledge Length Ridge|Ridge|43.66367600|-73.26511220|273|FAIR HAVEN
Sleeper Brook|Stream|44.71838410|-71.91953970|404|NEWARK
Sleepers River|Stream|44.40728050|-72.01620580|164|ST. JOHNSBURY
Sloop Island|Island|44.30727380|-73.30762660|29|CHARLOTTE
Smiley School|School|44.68282750|-72.77429270|141|CAMBRIDGE
Smith Brook|Stream|43.91228770|-72.65232590|194|RANDOLPH
Smith Brook|Stream|44.64449490|-72.71873340|144|JOHNSON
Smith Brook|Stream|44.76532750|-71.80676020|387|FERDINAND
Smith Cemetery|Cemetery|43.50506980|-72.96982690|179|CLARENDON
Smith Peak|Summit|43.57618020|-72.78371200|964|SHREWSBURY
Smith Pond|Lake|43.71867670|-73.06261000|130|PITTSFORD
Smith Pond|Lake|44.42950000|-72.46427490|360|WOODBURY
Smith Pond|Reservoir|44.91588010|-72.28121560|311|NEWPORT TOWN
Smith School|School|43.84367210|-73.26483820|122|ORWELL
Smith School|School|44.08311190|-73.28734370|57|ADDISON
Smithville|Populated Place|43.38812810|-72.66787300|298|LUDLOW
Smokeshire Cemetery|Cemetery|43.34118450|-72.64453860|348|CHESTER
Smugglers Notch|Gap|44.55532940|-72.79567900|664|CAMBRIDGE
Snake Mountain|Summit|44.06144570|-73.28039860|388|ADDISON
Snider Brook|Stream|44.83560310|-72.43483190|240|WESTFIELD
Snipe Island Brook|Stream|44.39033130|-72.95484490|92|RICHMOND
Snow Brook|Stream|43.41396050|-73.19010760|194|WELLS
Snow Hill|Summit|44.80115980|-71.62286660|552|BLOOMFIELD
Snowden Peak|Summit|43.61617950|-72.81982480|1093|KILLINGTON
Snows Brook|Stream|43.97200980|-72.55371320|201|RANDOLPH
Sodom|Populated Place|42.93618920|-73.26566500|158|SHAFTSBURY
Sodom Pond|Lake|44.32561370|-72.49982960|314|EAST MONTPELIER
Sodom Pond Brook|Stream|44.27089280|-72.48316120|203|EAST MONTPELIER
Soltudus Mountain|Summit|43.51423680|-72.71454240|654|PLYMOUTH
Songadeewin Camp|Locale|44.77338270|-72.07371000|397|WESTMORE
Soule School|School|44.76421530|-72.96125180|191|FAIRFIELD
South Albany|Populated Place|44.69143910|-72.31204980|408|ALBANY
South Alburg|Populated Place|44.88754130|-73.27846420|34|ALBURG
South American Pond|Lake|44.70560670|-71.74314740|532|FERDINAND
South Barre|Populated Place|44.17700590|-72.50566020|226|BARRE TOWN
South Bay|Bay|44.91838030|-72.20899110|208|NEWPORT CITY
South Bradford Church|Church|43.99784440|-72.19537020|321|BRADFORD
South Branch School|School|43.94812040|-72.71038400|222|BRAINTREE
South Branch School|School|44.00062060|-72.56121410|201|BROOKFIELD
South Branch Trout River|Stream|44.87893580|-72.61206600|160|MONTGOMERY
South Branch Waits River|Stream|44.03173260|-72.19620410|189|BRADFORD
South Branch Wells River|Stream|44.21978390|-72.22037360|271|GROTON
South Branch Williams River|Stream|43.25840840|-72.58370270|175|CHESTER
